UID,NAME_0,NAME_1,NAME_2,lon,lat
8377,United States,Iowa,Cerro Gordo,-93.2614633309844,43.08187240942416
8378,United States,Iowa,Hancock,-93.73465838612583,43.08212083674871
8379,United States,Iowa,Palo Alto,-94.67952968406756,43.081529255805904
8380,United States,Iowa,Clay,-95.15136153388694,43.08250666316733
8383,United States,Michigan,Genesee,-83.70671793326422,43.02159542353054
8386,United States,Iowa,Chickasaw,-92.31787050946993,43.059460666663014
8387,United States,Iowa,Floyd,-92.78908159997471,43.05929457568835
8388,United States,Wisconsin,Iowa,-90.13587129184296,43.00027119341665
8389,United States,Wisconsin,Grant,-90.70815990360053,42.867695607634325
8390,United States,New Hampshire,Hillsborough,-71.71621501214922,42.91490842468455
8391,United States,Michigan,Ottawa,-85.9969072354077,42.95911264784445
8392,United States,Wisconsin,Jefferson,-88.77610629132818,43.02200905615219
8394,United States,Wisconsin,Waukesha,-88.3046358835399,43.02016171871956
8396,United States,Wisconsin,Milwaukee,-87.96767555859725,43.009440025538275
8398,United States,New York,Madison,-75.66898534034398,42.91207703699288
8399,United States,New Hampshire,Cheshire,-72.25134463515238,42.9195791577022
8400,United States,South Dakota,Yankton,-97.39347161684844,43.009965733229365
8401,United States,South Dakota,Bon Homme,-97.883893575755,42.988046351293484
8407,United States,Michigan,Shiawassee,-84.14789365419598,42.95396643603783
8408,United States,New York,Genesee,-78.19433062199266,43.00110146749144
8410,United States,New Hampshire,Strafford,-71.03126733882509,43.29815013391343
8412,United States,Maine,York,-70.71536344735658,43.47965241921722
8414,United States,Michigan,Ionia,-85.07559472594262,42.94525880489419
8415,United States,Michigan,Clinton,-84.60319500419786,42.943872065628746
8420,United States,South Dakota,Union,-96.65564797715808,42.83429646020361
8421,United States,South Dakota,Clay,-96.97506798206494,42.91434660138216
8422,United States,Iowa,Fayette,-91.84399351432283,42.86201755566768
8423,United States,Iowa,Clayton,-91.33985753082713,42.84371035840934
8426,United States,New York,Erie,-78.73064513100667,42.761448215447125
8428,United States,New York,Montgomery,-74.44032051344671,42.90090756535904
8429,United States,New York,Ontario,-77.29998760834468,42.85168320041551
8432,United States,New York,Seneca,-76.82220721032195,42.780246584490754
8436,United States,Michigan,Lake St. Clair,-82.75416879501473,42.54249625951965
8438,United States,New York,Livingston,-77.77485785263406,42.72748800972326
8440,United States,New Hampshire,Rockingham,-71.1293688128142,42.98603518425954
8441,United States,Ohio,Lake Erie,-81.32300815604411,41.97166670850372
8443,United States,New York,Rensselaer,-73.51013303809796,42.71153024912207
8444,United States,New York,Schenectady,-74.05851960025134,42.81802011387085
8451,United States,Iowa,Plymouth,-96.21373860899143,42.73799704088039
8452,United States,Iowa,Buena Vista,-95.15229170783665,42.73474502863672
8453,United States,Iowa,Cherokee,-95.62349558883692,42.73469674773945
8454,United States,Iowa,Pocahontas,-94.68071244773674,42.73279595028592
8455,United States,Iowa,Wright,-93.73541298554683,42.73203802309222
8456,United States,Iowa,Humboldt,-94.20855010562467,42.77526476076879
8457,United States,Iowa,Franklin,-93.26336599674761,42.73180560817626
8458,United States,Iowa,Butler,-92.79116642621388,42.73088263647448
8459,United States,Iowa,Bremer,-92.31864668100935,42.77342652340866
8460,United States,New York,Otsego,-75.03182516191795,42.632336159702795
8462,United States,Michigan,Macomb,-82.9326274100588,42.69566959760728
8466,United States,Michigan,Oakland,-83.38571068186819,42.66011471916865
8467,United States,Massachusetts,Essex,-70.95612024033693,42.6721446531924
8468,United States,Nebraska,Knox,-97.89161969684626,42.637221999551876
8470,United States,Nebraska,Cedar,-97.25382046819757,42.60032020724757
8471,United States,New York,Wyoming,-78.22311424179588,42.70212532316653
8472,United States,Wisconsin,Green,-89.60169044445651,42.68153086735078
8474,United States,Wisconsin,Rock,-89.07001535102094,42.673329397902265
